card_name,card_number
Charizard VSTAR,018/172
Banette ex,85/92
Claydol,5/107
Palkia (Shiny),SL8
Fighting Energy - 2012 (Igor Costa),
Sneasel,24/64
Pokemon Retriever,84/109
Sudowoodo,35/123
Clefairy (#13),13/30
Pikachu,112/111
Greninja,117/214
Mawile - 039 (Prerelease) [Staff],039
Teal Mask Ogerpon ex - 2025 (Yuya Okita),
Galarian Zigzagoon,SV078/SV122
Centiskorch VMAX (Secret),191/189
Beedrill,18/75
Serperior,125/124
Oddish,068/111
Deoxys Normal Forme,1/146
Charizard,4/102
Palkia GX (Full Art),119/131
Solrock,075/132
Professor Elm's Training Method - 2006 (Jason Klaczynski),89/115
Prinplup,59/127
Pidgeotto - 2006 (Hiroki Yano),45/112
Buddy-Buddy Poffin (NAIC Promo),144/162
Squirtle,24/135
Falkner,251/193
Electrode (Team Plasma) - BW76,BW76
Scizor V (Full Art),183/189
Kricketune,24/102
Froakie - 2016 (Cody Walinski),38/122
Mew V,060/159
Single Strike Urshifu VMAX,086/163
Marshtomp,67
Nidorino,054/130
Reshiram,021/099
Metagross ex,95/108
Toxicroak ex,232/198
Yveltal,95/181
Snorlax V,141/202
Noivern (#30 - Holo),30/30
Teal Mask Ogerpon ex,145/131
Latias - SM135,SM135
Pikachu,19/68
Manectric EX - 2015 (Patrick Martinez),23/119
Heatran GX - 2019 (Shintaro Ito),25/236
Azumarill,18/130
Darkrai,3/100
Gym Badge (Giovanni),XY210
Mega Gardevoir ex,187/132
Empoleon V (Alternate Full Art),146/163
Toxtricity (Prerelease),017
Liepard (Master Ball Pattern),056/086
Sprigatito ex,251/217
Elekid,009/147
Energy Charge,86/107
Politoed,007/095
Skitty,62/108
Chi-Yu - 057 (Prerelease),057
Gym Badge (Brock),XY203
Umbreon,130/197
Reshiram - 2011 (Christopher Kan),26/114
Water Energy (2011 Pokemon League Promo),
Bouffalant,119/142
Tyrunt,61/111
Solgaleo GX,89/149
Metagross GX (Secret),157/145
Code Card - Mewtwo V-UNION Special Collection,
Iron Valiant ex,249/182
Haunter,029/102
Galarian Weezing,113/192
Bastiodon,85/156
Code Card - V Battle Deck [Gardevoir V],
Chansey,70/108
Pokegear 3.0 - 2011 (Christopher Kan),96/123
Holon's Voltorb - 2007 (Tom Roos),71/113
Hisuian Electrode V (Full Art),172/196
Skitty - 2004 (Kevin Nguyen),79/100
Baltoy - 2008 (Dylan Lefavour),60/106
Rhyperior E4,032/111
Victory Cup - BW29 (Battle Road Spring 2013) [3rd Place],BW29
Rayquaza GX (Full Art),160/168
Meowth,011/012
Team Rocket's Tyranitar (Prerelease) [Staff],096/182
Kyurem,031/116
M Altaria EX,69/124
Ace Trainer,069/098
Terapagos & Friends,
Kyogre ex - 037 (EX Collector's Tins),037
Sabrina's Golduck,030/132
Grass Energy (2011 Pokemon League),
Snorlax,158/214
Weedle (115),115/144
Oddish (111),111/146
Phanpy,205/191
Giratina VSTAR (Secret),GG69/GG70
Energy Removal,092/102
Team Aqua's Lanturn,28/95
Hitmontop,008/095
Rainbow Energy,104/123
Gym Badge (Lt. Surge),XY205
Iscan (Full Art),192/196
Xerneas - XY05,XY05
Cobalion EX (133 Full Art),133/135
Charcadet,114/091
Blaziken ex,89/95
Zangoose,14/100
Unown [S],39/132
Genesect - 2025 (Jose Cruz Galindo-Resendiz),
Wailmer,69/92
Darkrai EX - BW46,BW46
Magearna V (Full Art),182/195
Sableye,10/100
Gardevoir,54/98
Dragonite ex,90/97
Shrine of Punishment,SV90/SV94
Bellsprout (45),045/147
Metagross VMAX (Secret),208/198
Schoolgirl (Full Art),262/264
Prism Energy - 2012 (Igor Costa),93/99
Irida (Full Art),186/189
Flareon (H7),H07/H32
Regice,36/146
Float Stone - 2017 (Zachary Bokhari),137/162
Charmeleon,102/100
Blaine's Arcanine,001/132
Kadabra,046/130
Numel,69/97
Stonjourner VMAX (Secret),205/202
Gardevoir,009/108
Gengar & Mimikyu GX (Full Art),164/181
Charizard,025/185
Tag Switch (Secret),254/236
Lucario EX,54/111
Beedrill,020/110
Dark Charmeleon,32/82
Primarina GX,42/149
Bug Catching Set (Poke Ball Pattern),102/131
Cofagrigus,52/108
Wigglytuff,034/144
Magmortar,27/102
Plusle - HGSS16,HGSS16
Professor Sada's Vitality,239/182
Drifloon,155/091
Primeape,059/110
Alcremie,SV058/SV122
Ludicolo,38/168
Oracle - 2004 (Chris Fulop),138/144
Energy Retrieval - 2012 (Shuto Itagaki),92/114
Electrode (2),02/64
Light Slowbro,051/105
Landorus EX,89/149
Professor Juniper - 2013 (Yugo Sato),98/108
Grimmsnarl VMAX,115/189
Grant (Full Art),185/189
Team Rocket's Zapdos (EB Games Exclusive),070/182
Magnemite,076/144
Glaceon (Master Ball Pattern),025/131
Miraidon ex - 143,143
Blastoise,001/017
Victory Cup - BW31 (Battle Road Spring 2012) [1st Place],BW31
Flareon ex,014/131
Articuno (48),48/53
Pikachu VMAX,044/185
Charmander,011/094
Mamoswine,21/100
Mudkip,65/97
Mimikyu ex (Journey Together Stamped),069/159
Gyarados (20),20/98
Palkia EX (Team Plasma),66/101
Dragonite,083/116
Tentacruel,066/110
Ninetales,32/123
Hatenna,SV054/SV122
Haxorus - BW57,BW57
Shelgon,20/97
Fezandipiti ex - 2025 (Riley McKay),
Crobat,093/086
Charmander,113/112
Pokemon Tower,42/53
Yamask,122/086
Yungoos (Ash vs Team Rocket Deck Kit),015/026
Magikarp,65/100
Lickilicky C,30
Nidoqueen - SM160 (Prerelease),SM160
Cloyster (8),008/165
Ponyta,71/100
Virizion GX (Full Art),197/214
Regigigas EX,82/99
Salamence,8/20
Uxie - 2009 (David Cohen),43/146
Gardevoir,7/132
Rotom,197/182
Hisuian Zoroark V,146/196
Shining Arceus,57/73
Roseanne's Research,125/132
Silvally,184/236
Exploud,17/106
Zeraora,52/181
Lapras (25),25/62
Snivy (Master Ball Pattern),001/086
Rotom V (Alternate Full Art),177/196
Ledian - 133,133
Misdreavus,25/109
Aipom,067/147
Flygon EX,XY61
Float Stone - 2013 (Ian Whiton),99/116
Rockruff - SM06 (General Mills Promo),SM06
Sableye G,41
Genesect ex,169/086
Wimpod - 2017 (Kabu Fukase),16/147
Hoopa V - SWSH176,SWSH176
Team Magma's Aggron,14/34
Luxray BREAK,47/122
Galvantula ex,159/142
Lt. Surge's Treaty,112/132
Dawn Wings Necrozma GX (Full Art),143/156
Eldegoss V,019/192
Siebold (Full Art),198/198
Prof. Oak's Research (2004-2005),98/112
Eevee - SWSH118,SWSH118
Metagross,095/168
Ralts,RC8/RC25
Infernape,017/135
Eternatus VMAX,SV122/SV122
Chikorita (Delta Species),44/101
Smeargle,8/90
Dracovish,SV036/SV122
Munchlax,68/100
Unown (E),E/28
Kirlia,RC9/RC25
Ceruledge,197/191
Team Rocket's Tyranitar (Pokemon Center Exclusive),096/182
Roaring Moon - 2024 (Sakuya O. Gold Signature),109/162
Victini - XY117,XY117
Flaaffy,007/017
Swampert,13/109
Electivire,GG08/GG70
"Code Card - Guardians Rising Theme Deck - ""Steel Sun"" [Solgaleo]",
Marill (#24),24/30
Rayquaza VMAX,111/203
Altaria,040a/070
Gothitelle,72/113
Snover,101/123
Arcanine,1/123
Toxtricity,SV042/SV122
Houndoom,066/064
Nidoran M (Delta Species),57/101
Marill,11/18
Pikachu ex,277/217
Broken Time-Space,104/127
Guzzlord GX (Secret),116/111
Bebe's Search - 2008 (Dylan Lefavour),119/132
Grant (Secret),203/189
Kirlia,47/113
Whitney (Full Art),214/214
Juggler,126/147
Bronzong G - 2010 (Yuta Komatsuda),41/127
Rhyperior LV.X - DP29,DP29
Galarian Articuno V (Secret),181/172
Reshiram & Zekrom GX (Full Art),222/236
Empoleon V,040/163
Fire Energy (2010 Unnumbered HGSS Style Non-Holo),
Glaceon EX (Full Art),116/124
Multi Energy,89/106
Meloetta,77/149
Apricorn Maker (Full Art),161/168
Shelmet (Master Ball Pattern),008/086
Champions Festival (2016) [Staff],XY176
Poliwrath,025/108
Deoxys ex (Defense Forme),99/107
Fire Energy (2006-2007 League Promo),
Milotic C,35
Mudsdale,175/162
Buneary,012/017
Poliwrath (26),026/144
Hitmontop,5/123
Scrafty (Master Ball Pattern),058/086
Drifloon - (Cosmos Holo) 005,005
Dialga - DP26,DP26
Cubone,57/131
Earthen Vessel - 2025 (Yuya Okita),
Frozen City (Team Plasma),100/116
Scizor - 2008 (Tristan Robinson),29/100
Starly,016/017
Polteageist V - SWSH021,SWSH021
Code Card - Mega Mewtwo Collection [Mega Mewtwo Y],
Chansey,003/130
Eevee,68/113
Drapion V (Full Art),175/185
Skitty,79/100
Oranguru,TG12/TG30
Zekrom,TG05/TG30
Dugtrio,19/102
Triple Acceleration Energy (Secret),234/214
Vaporeon VMAX,030/203
Zebstrika,042/114
Mysterious Treasure,113a/131
Bonsly,71/130
Gyarados ex,045/198
Dusknoir (1),1/100
N (Supporter),96/108
Mightyena,42/109
Omastar,26/100
Camerupt,24
Beedrill V (Full Art),160/189
Piplup - 042,042
Bulbasaur,55/112
Honey (Full Art),192/198
Solrock,25/92
N - 2015 (Alejandro Ng-Guzman),96/108
Nidoking,29/111
Smoochum - HGSS13,HGSS13
Salamence VMAX,144/189
N's Zoroark ex,286/217
Registeel,068/111
Lapras GX (Full Art),139/149
Cubone,007/012
Exp. Share,126/163
Pidgeot,014/130
Rayquaza,138/185
Gouging Fire ex,188/162
Vaporeon GX - SM172,SM172
Flapple V (Full Art),143/163
Rare Candy - 2004 (Reed Weichler),88/100
Code Card - Red & Blue Collection [Venusaur EX],
Poliwhirl,037/095
Crawdaunt ex,99/110
Weedle - 2009 (Stephen Silvestro),93/106
Lightning Energy (2010 Unnumbered HGSS Style Non-Holo),
Arcanine,022/214
Mothim,6/99
Solgaleo,087/145
Giratina (27),27/127
Orbeetle,SV009/SV122
Shaymin VSTAR,014/172
Rotom,SV038/SV122
Wobbuffet V,086/202
Mismagius,28/95
Aerodactyl,13/99
Brock's Onix (69),069/132
Drednaw V (Full Art),69/73
Gallade,61/135
Electivire FB Lv.X,144
Mimikyu VMAX,069/172
Pidgey (#11),11/30
Staryu (103),103/144
Emcee's Hype,220/182
Gastly (36),36/99
Box of Disaster (Secret),214/196
Celebi VMAX (Secret),199/198
Ditto,35/113
Team Aqua's Manectric,4/95
Chesnaught - XY68 (Prerelease [Staff],XY68
Jirachi,97/95
Sigilyph GX (Secret),222/214
Sandile,135/086
Gengar (5),05/62
Hoopa EX (89 Full Art),89/98
Scott - 2008 (Paul Atanassov),81/108
Lugia - HGSS02,HGSS02
Slowpoke,093/110
Weakness Guard Energy (Secret),258/236
Krookodile,66/108
Desert Ruins - 2005 (Michael Gonzalez),88/101
Magikarp,
Togekiss,11/106
Delibird,038/149
Magneton,69/236
Team Rocket's Meowth,203/182
Dragonite GX,152/236
Pikachu (Rain City Showcase),062/193
Spiritomb,16/146
Mankey,169/091
Lightning Energy (2024),012
Landorus,131/086
Wartortle [W Stamped],063/130
Blastoise GX,35/214
Mabosstiff,188/091
Revavroom ex,081/064
Gloom,37/64
Koga's Koffing (48),048/132
Politoed ex,107/115
Ampharos,14/123
Metal Energy,159/165
Registeel - SM75 (Prerelease) [Staff],SM75
Iron Jugulis,216/182
Medicham,34/108
Misty's Cloyster,029/132
Xerosic (119 Full Art),119/119
Thundurus,139/091
Horsea,58/109
Solgaleo GX (Secret),155/149
Dark Flareon,35/82
Terrakion,73/101
Spewpa,089/088
Crobat,056/149
Noibat,SV43/SV94
Magcargo,37/107
Lapras,GG05/GG70
Meowth (#4),4/30
Relicanth,30/110
Slowpoke,83/113
Skarmory ex,98/108
Cofagrigus,100/214
Primarina,088/084
Sinistea,SV052/SV122
Darkness Energy (Special),103/113
Honchkrow,29
Sylveon (#15 - Non-Holo),15/30
Raichu (25),025/165
Pikachu,006/015
Registeel - SM75 (Prerelease),SM75
Slither Wing,203/182
Sceptile,005/017
Magcargo,20/107
Trevor (Bisharp),20/30
Incineroar GX (Secret),147/145
Aegislash EX,065a/119
Registeel ex,99/101
Cinderace ex,157/142
Tentacruel (H26),H26/H32
Breloom,45/132
Absol,81/145
Bronzor (Master Ball Pattern),066/131
Special Delivery Pikachu - SWSH074,SWSH074
Registeel ex,100/106
Malamar EX (115 Full Art),115/119
Multi Energy,118/123
Decidueye GX - SM37,SM37
Roseanne's Research,011/017
Code Card - V Battle Deck [Rayquaza V],
Arceus (AR3),AR3
Machop,117/165
Snorlax - XY179,XY179
Blend Energy GFPD,117/124
Mega Diancie ex,267/217
Gourgeist,2/30
Floette,151/236
Cara Liss (Full Art),067/072
Heatran LV.X,97/100
Alakazam,082/167
Smoochum,061/147
Zapdos (30),30/62
Energy Search - 2013 (Yugo Sato),128/149
Eiscue,205/193
Salamence V (Full Art),185/189
Glaceon LV.X,98/100
Mawile - 039 (Prerelease),039
Amaura,25/111
Moonlight Stadium - 2010 (Michael Pramawat),100/106
Mudkip - 005 (POP Tournament),005
Iono - 124,124
Tornadus,89/98
Galarian Zapdos - SWSH283,SWSH283
Zamazenta V (Full Art),196/202
Rayquaza & Deoxys Legend (Bottom),90/90
Houndour,113/165
Mew,032/068
Torchic,012/111
Delphox BREAK,14/124
Nidorina,083/144
Drampa GX - 2018 (Magnus Pedersen),115/145
Lucian,208/167
Ariados (H3),H03/H32
Golisopod GX - 2017 (Naoto Suzuki),17/147
Moltres,21/53
Tapu Lele GX,SV94/SV94
Iono's Bellibolt ex,279/217
Blastoise,002/102
M Manectric EX,024a/119
Pichu,045/100
Treecko,70/106
Ethan's Ho-Oh ex,230/182
Furret,035/111
Entei - SM219 (Prerelease) [Staff],SM219
Gyarados - XY60 (Prerelease) [Staff],XY60
Kyogre & Groudon Legend (Bottom),88/90
Roseanne's Research - 2010 (Yuka Furusawa),125/132
Origin Forme Palkia V,039/189
Battle City - BW39,BW39
Holon's Magneton - 2007 (Jeremy Scharff-Kim),22/113
Lechonk,207/091
Palossand GX,82/168
Glaceon V,038/159
Totodile,005/012
Charizard EX,12/108
Swablu,213/182
Arceus & Dialga & Palkia GX (Secret),258/236
Infernape - 116,116
Switch Raft,62/70
Celebi,009/185
Radiant Blastoise,018/078
N - 2012 (Shuto Itagaki),96/108
Cobalion (100 Full Art),100/101
Terrakion,135/086
Dratini,53/82
Professor's Research [Professor Sada],240/198
Mewtwo,9
Pyukumuku,53/214
Skiploom,049/111
Smeargle (30),30/75
Team Magma Ball,80/95
Lugia,078/124
Switch Cart,154/189
Team Aqua's Kyogre EX,6/34
Scott,84/106
Groudon ex - 038 (EX Collector's Tins),038
Professor Sycamore - 2018 (Naohito Inoue),107/122
Zacian V,016/025
Arcanine BREAK - XY180,XY180
Wallace (Secret),208/195
Golisopod - SM52,SM52
Dark Gyarados,36/109
Cynthia's Spiritomb,244/217
Alolan Vulpix - 2017 (Zachary Bokhari),21/145
Super Scoop Up,87/100
Alomomola (39),39/114
Slowpoke,116/091
Serperior,RC3/RC25
Magikarp,006/034
Electrode GX,48/168
Delcatty,29
Yveltal,205/182
Gyarados,32/97
Alcremie V (Full Art),064/072
Yveltal EX - XY150a,XY150a
Mt. Coronet,SV89/SV94
Team Rocket's Nidoking ex,119/182
Jolteon ex,153/131
Seviper,32/110
Manaphy EX (Full Art),116/122
Darkness Energy (Basic),
Froslass,174/167
Leafeon,13/95
Porygon,078/105
Rapidash (51),51/53
Seaking,060/130
Alolan Muk GX (Secret),157/147
Manectric,28/123
Fieldworker - 2007 (Jun Hasebe),73/92
Sudowoodo (H24),H24/H32
Kingler (Delta Species),22/100
Slurpuff,095/146
Aggron ex,89/100
Mimikyu,58/145
Sableye - 2009 (Tsubasa Nakamura),48/100
Beldum - 022 (League Promo) [Winner],022
Galarian Articuno V (Full Art),169/198
Pikachu,009/017
Pikachu,016/017
Mega Lopunny & Jigglypuff GX,165/236
Sabrina's Venonat,096/132
Typhlosion,16/123
Zeraora VSTAR,GG43/GG70
Wigglytuff (#14 Non-Holo),14/30
Latias - 014 (Pokemon Heroes: Latios & Latias DVD Release),014
Tynamo - 2012 (Chase Moloney),45/108
Pikachu V - SWSH198,SWSH198
Slowbro,13/115
Raichu,RC9/RC32
Hisuian Arcanine,084/196
Igglybuff,70/106
Flaaffy - Pikachu 5,108
Golbat,43/113
Cherrim,7/135
Arezu (Full Art),189/196
Azumarill (Delta Species),19/113
Glameow - DP23,DP23
Riolu - BW33,BW33
Steelix,125/214
Volcarona GX,35/236
Exploud,28
Plasma Energy (Special),106/116
Hilda,164/086
Lapras,008/034
Alolan Vulpix (29),21/145
Weavile,74/156
Rocket's Persian ex,116/115
M Scizor EX (Full Art),120/122
Fossil Excavator,82/100
Level Ball - 2014 (Michikazu Tsuda),89/99
Hitmonchan,007/102
Pikachu,78/110
Max Rod,116/131
Clefable ex,106/112
Mega Hawlucha ex,268/217
Keldeo,019/086
Koffing,62/107
Rapidash,031/147
Multi Energy (Special),093/100
Lucario LV.X,122/123
Gyarados,23/83
Kecleon,213/191
Mewtwo,010/102
Vivillon,XY137
Grafaiai,223/193
Electrode,134/091
Metal Energy (Secret),163/149
Nidorina - 2009 (Jason Martinez),73/111
Marshtomp,36/106
Guzma - 2017 (Zachary Bokhari),115/147
Tyrantrum - 066,066
Poliwrath,015/130
Zoroark,90/113
Swablu,79/107
Shaymin - XY188,XY188
Jigglypuff,008/012
Flying Pikachu V,006/025
Code Card - Blastoise VMAX Battle Box,
Unown (W),80/146
Unown (R),77/146
Galarian Moltres V,TG20/TG30
Floragato,197/193
Seviper,SV15/SV94
Pikachu,094/123
Jolteon EX,28/83
Aerodactyl (16),16/62
Geeta,188/197
Whirlipede (Master Ball Pattern),055/086
Tyranitar ex (Delta Species),99/101
Porygon-Z,214/182
Tropius,005/101
Vulpix,116/147
Wailord ex,097/084
Raichu,016/130
Nidoqueen,30/111
Forretress,28/97
Charmeleon (Delta Species),005/017
Xatu,052/111
Sabrina's Abra (94),094/132
Groudon,6/95
Infernape,5/130
Keldeo EX - BW61,BW61
Strength Charm,150/165
Kyurem V (Full Art),174/196
Articuno,25/83
Scizor,29/100
Rosa (Full Art),236/236
Minccino,152/086
Leafeon (24),24/100
Plusle,36/95
Mega Feraligatr ex,036
Professor Elm's Training Method - 2004 (Reed Weichler),148/165
Deoxys V - SWSH266,SWSH266
Cursed Stone - 2006 (Jason Klaczynski),72/92
Arcanine - 011,011
Palossand ex,221/191
Gastrodon West Sea,9/132
Single Strike Urshifu V (Full Art),150/163
M Slowbro EX,27/108
Metang,094/086
Charmander,101/100
Rhydon (29),029/144
Sabrina's Gengar,029/132
Moltres,9/124
Cranidos,46/127
Victory Medal - 2010-2011 (Battle Road Autumn),
Rare Candy - 2004 (Chris Fulop),88/100
Relicanth,18/106
Trevenant (Prerelease),XY94
Genesect (Team Plasma) - BW86,BW86
Raging Bolt ex - 145,145
Zekrom ex,034/086
Mewtwo (Delta Species),12/113
Dark Venusaur - 7 [Winner],007/009
Horsea - 137 (Cosmo Holo),137
Spinda,48/101
Rayquaza,20/95
Radiant Hisuian Sneasler,123/196
Aerodactyl GX (Secret),244/236
Slaking,34/123
Guzzlord,136/236
Lt. Surge's Raichu,011/132
Haunter,34/112
Dolliv,103/091
Rayquaza V,110/203
Bouffalant,107/113
Chansey (80),80/108
Scizor VMAX,119/189
Cutiefly,010/012
Blaziken,192/182
Dratini,26/97
Unown [T],088/105
Grumpig,30/106
Maxie - 2004 (Tsuguyoshi Yamato),73/95
Solgaleo GX - SM16,SM16
Reshiram & Zekrom GX,157/236
Azurill,69/130
Water Energy,102/102
Rotom,13/100
Darkness Energy (2023),007
Leafeon ex,144/131
Mega Lucario ex,160/132
Professor's Research [Professor Juniper],060/072
Scizor VMAX (Secret),193/189
Light Sunflora,072/105
Salamence,8/99
Mr. Mime GX (Secret),173/168
Ditto,132/165
Arbok,31/62
Sunkern,85/123
Rampardos,033/123
Poliwag,058/095
Pokemon Fan Club,094/106
Unown [G] - 2009 (Jason Martinez),57/106
Miraidon ex,079/197
Basic Psychic Energy - MEE 005 (Cosmos Holo),005
Sableye - 2008 (Tristan Robinson),10/100
Lechonk,154/198
"Tornadus, Thundurus & Landorus (Forces of Nature Promo)",
Cynthia & Caitlin,189/236
Broken Ground Gym,092/105
Magnemite (91),091/147
Professor Elm's Training Method - 2007 (Jun Hasebe),79/101
Aegislash (86),86/146
Grimer,079/147
Opal (Full Art),184/185
Hoothoot (Master Ball Pattern),077/131
Raikou V - 2023 (Shao Tong Yen),048/172
Comfey - SWSH242 (Prerelease),SWSH242
Mew ex - 151/165 - 2024 (Evan Pavelski),151/165
Dratini,091/146
Celebi (Prime),92/102
Ash's Pikachu - SM113,SM113
Pidove - BW15,BW15
Regieleki V - SWSH280,SWSH280
Alolan Sandslash - SM18 (Prerelease) [Staff],SM18
Beautifly,006/017
PokeStop - 2023 (Shao Tong Yen),068/078
M Blastoise EX,22/108
Meloetta (78),78/113
Butterfree,021/110
Iron Moth,187/182
Tyranitar ex (Holo),017/017
Pignite,004/012
Dragalge - XY10 (Prerelease) [Staff],XY10
Charizard (XY Evolutions Prerelease),11/108
Pikachu VMAX - SWSH286,SWSH286
Rellor,108/091
Gligar,059/111
Rayquaza,022/107
Code Card - Mythical Pokemon Collection Box [Meloetta],
Mega Skarmory ex,106/088
Gyarados EX,26/122
Reshiram (114 Full Art Secret Rare),114/113
Gyarados EX (Secret),123/122
Lugia EX (Team Plasma),108/135
Luxray,8/146
Toxtricity VMAX (Secret),196/192
Cape of Toughness (Secret),200/185
Vanilluxe (Holiday Calendar),045/182
Keldeo GX (Full Art),219/236
Oricorio,055/045
Pikachu - SM86 (General Mills Promo),SM86
Professor Elm's Training Method,148/165
Celebi ex (Holo),017/017
Pokemon Center,085/102
Corvisquire,SV102/SV122
Dialga GX (Secret Rare),164/156
Jasmine (Full Art),177/181
Flareon EX (Full Art),RC28/RC32
Keldeo EX - 2014 (Michikazu Tsuda),45/113
Graveler,079/165
Latias,22/106
Buzzwole - 2018 (Magnus Pedersen),77/131
Oricorio ex,018/094
Alcremie V,022/073
Treecko - 016 (Target Promo),016
Primarina,041/149
Greninja GX (Secret),133/131
Druddigon,070/106
Magby,023/111
Totodile (80),080/111
Pupitar,45/75
Flareon,5/100
Max Potion - 2012 (Chase Moloney),94/98
Charizard ex,223/197
Arceus (AR4),AR4
Phoebe (Secret),175/163
Turtonator GX,18/145
Battle Reporter (109 Full Art),109/111
Slowking (H22),H22/H32
Vileplume,17/18
Team Rocket's Persian ex - 218,218
Shiftry GX (Secret),169/168
Chandelure V (Full Art),247/264
Jessie & James (Full Art),68/68
Trekking Shoes (Secret),215/189
Metal Energy,143/147
Sentret,071/111
Luxray GL - 2010 (Yuta Komatsuda),9/111
Floral Crown,RC26/RC32
Baxcalibur,130/091
Flutter Mane (Master Ball Pattern),043/131
Swoop! Teleporter,92/109
Drowzee (74b),074b/147
Hoopa EX (Collection Promo),XY85
Greninja GX - SM197 (SM Black Star Promo),SM197
Articuno,009/034
Cassiopeia,086/064
Zekrom ex,172/086
Porygon-Z (Team Plasma),74/101
Pokemon Breeder's Nurturing (Secret),195/189
Marill,29/53
Duskull,068/064
Zubat (117),117/144
Morpeko V-Union - SWSH216,SWSH216
Misty's Lapras,194/182
Alakazam,001/012
Fighting Fury Belt,99/122
Piplup (11),32/156
Crobat ex,96/107
Pichu - 2011 (Ross Cawthon),28/123
Tapu Koko - 2017 (Zachary Bokhari),SM30
Toxicroak G (40) - 2009 (Tsubasa Nakamura),40/127
Dunsparce - 2004 (Kevin Nguyen),60/100
Fearow (Delta Species),18/100
Granbull,037/111
Tapu Koko GX - SM50,SM50
Detective Pikachu - SM190 (Stamped),SM190
Bulbasaur (Blue Border),
Zeraora VMAX,GG42/GG70
Judge Whistle (Secret),194/181
Crystal Edge,138/149
Lucario (77),77/135
Palkia GX (Full Art),147/156
Cool Porygon,15/53
Regidrago VSTAR - 2024 (Evan Pavelski Gold Signature),136/195
Mina (Full Art),211/214
Genesect (Cosmos Holo) (Best Buy Exclusive),008/094
Pidove,123/149
Poliwrath (60),060/165
Melmetal VMAX,048/078
Ho-Oh - HGSS01,HGSS01
Rare Candy - 2006 (Hiroki Yano),90/110
Mega Charizard Y ex,294/217
Vileplume,24/90
Deoxys EX (Team Plasma),53/116
Pidove,011/012
Sudowoodo,219/193
Team Galactic's Invention G-105 Poke Turn - 2009 (Stephen Silvestro),118/127
Toxicroak ex,131/198
Latias EX (112 Full Art),112/116
Holon's Magnemite,70/113
Yanmega E4,37/111
Silent Lab,140/160
Misty's Duel,123/132
Venusaur & Snivy GX (Full Art),210/236
Pikachu - SM98,SM98
Crystal Shard - 2005 (Michael Gonzalez),85/107
Unown [E],65/123
Rocky Helmet (Secret),153/149
Iron Crown ex,206/162
Honedge,083/146
Underground Expedition (Full Art),168/168
Furfrou (#20 - Noivern),20/30
Water Energy - 2004 (Reed Weichler),106/109
Fire Energy,
Light Togetic,015/105
Ninjask,13/107
Weezing,33/113
M Heracross EX (Secret),112/111
Code Card - TAG TEAM Tin [Celebi & Venusaur GX],
Tyranitar,26/95
Marshadow GX,80/147
Carracosta,26/101
Pumpkaboo - 2022 (Andre Chiasson),076/203
Baltoy,43/106
Alakazam (2),002/144
Vaporeon V - SWSH181,SWSH181
Slowbro,43/214
Raichu GX,20/68
Mega Lopunny ex,128/094
Regigigas VSTAR,114/159
Terrakion,84/113
Broken Time-Space - 2009 (Stephen Silvestro),104/127
Blastoise,31/149
Stonjourner VMAX,116/202
Life Herb,93
Flapple,SV013/SV122
Jirachi - 2005 (Curran Hill),9/107
Genesect ex,161/086
Shedinja,40/146
Pinsir,029/130
Iron Boulder ex,192/162
Litwick (Master Ball Pattern),016/086
Tyrantrum EX,XY70
Croconaw,44/123
Venusaur EX,1/146
Rowlet,013/197
Jigglypuff,63
Alolan Raichu,031/111
Onix,42/112
Caterpie,045/102
Gallade EX - XY45,XY45
Iron Thorns,062/162
Saguaro,255/193
Seadra,40/97
Roseanne's Backup (Full Art),172/172
Origin Forme Palkia V,SWSH253
Salazzle ex,101/088
Flaaffy (#3),3/30
Virizion,012/098
Iron Thorns ex - 077/167 - 2024 (Fernando Cifuentes),077/167
Pikachu - 225 (World Championship 2025) [Winner],225
Cosmog - SM42 (General Mills Promo),SM42
Dunsparce,GG23/GG70
Altaria,RC24/RC32
Mewtwo GX - SM196,SM196
Omanyte,041/144
Luxio,052/130
Poliwhirl,038/102
Dratini,009/012
Aerodactyl,130/181
Omanyte,60/75
Buneary - DP06,DP06
Zeraora V,TG16/TG30
Gurdurr,126/086
Fisherman,SV83/SV94
Sobble - SWSH073,SWSH073
Empoleon,38/162
N - 2017 (Kabu Fukase),105/124
Raichu V,045/172
Electivire ex,212/182
Shuckle GX (Full Art),195/214
Milotic ex,217/191
Gold Potion,140/149
Zapdos,020/130
Nidoqueen,032/110
Tapu Bulu GX (Full Art),130/147
Tropius,52/111
Raichu (H25),H25/H32
Steelix (H29),H29/H32
Tapu Fini GX,39/147
Chili & Cilan & Cress (Full Art),258/264
Shiftry,14/101
Kingler (50),050/165
Rare Candy,102/106
Code Card - Team Up Season 2 [Enhanced Hammer],
Hearthflame Mask Ogerpon ex,192/167
Cyndaquil (56),056/111
Gloom (Delta Species),42/110
Wishiwashi (Secret),240/236
Moltres (27),27/62
Zeraora VSTAR - SWSH265,SWSH265
Umbreon ex - 176,SVP 176
Oddish,58/64
Dratini (Delta Species),46/101
Lanturn,32/64
Crobat (Delta Species),2/113
Jolteon,037/108
Metal Energy (2024),016
Mars (Full Art),154/156
Tinkatuff,166/091
AZ's Tranquility,120/086
Golduck,35/62
Gyarados (21),21/98
Druddigon (Team Plasma),94/135
Darkness Energy (Special),86/95
Shiinotic - SM10 (Prerelease) [Staff],SM10
Butterfree,034/130
