card_name,card_number,card_name_cleaned
Decidueye ex,015/197,Decidueye ex
Espeon VMAX (Alternate Art Secret),270/264,Espeon VMAX (Alternate Art Secret)
Durant ex,215/191,Durant ex
Ninetales,16/181,Ninetales
Koraidon ex (Unnumbered),,Koraidon ex (Unnumbered)
Melmetal GX - SM178,SM178,Melmetal GX
Krookodile (Master Ball Pattern),059/086,Krookodile (Master Ball Pattern)
Jolteon (4),04/64,Jolteon
Radiant Heatran,027/189,Radiant Heatran
Celebi ex (Non-Holo),017/017,Celebi ex (Non-Holo)
Upper Energy - 2009 (David Cohen),102/111,Upper Energy - 2009 (David Cohen)
Venusaur,003/108,Venusaur
Keldeo EX - 2015 (Jacob Van Wagner),49/149,Keldeo EX - 2015 (Jacob Van Wagner)
Magnezone V (Full Art),175/196,Magnezone V (Full Art)
Latios - HGSS11 (Cosmos Holo),HGSS11,Latios (Cosmos Holo)
Eevee & Snorlax GX,120/181,Eevee & Snorlax GX
Muscle Band - 2015 (Jacob Van Wagner),121/146,Muscle Band - 2015 (Jacob Van Wagner)
Mystery Plate Beta,134/144,Mystery Plate Beta
Kakuna,050/110,Kakuna
Tornadus (98 Full Art),98/98,Tornadus (Full Art)
Combee - 2010 (Mychael Bryan),57/100,Combee - 2010 (Mychael Bryan)
Pikachu - SM04,SM04,Pikachu
Gardenia (Full Art),149/156,Gardenia (Full Art)
Staraptor FB Lv.X,147,Staraptor FB Lv.X
Professor Elm's Lecture,188/214,Professor Elm's Lecture
Jolteon V - SWSH183,SWSH183,Jolteon V
Vaporeon V (Full Art),172/203,Vaporeon V (Full Art)
Wailord ex,100/100,Wailord ex
Blaine (100),100/132,Blaine
Tornadus V (Full Art),184/198,Tornadus V (Full Art)
Unown,51/102,Unown
Scoop Up Cyclone - 2015 (Rowan Stavenow),95/101,Scoop Up Cyclone - 2015 (Rowan Stavenow)
Zoroark,071/114,Zoroark
Primarina GX - SM39,SM39,Primarina GX
Team Magma's Mightyena,21/95,Team Magma's Mightyena
Miraidon - 082 [Staff],082,Miraidon [Staff]
Alph Lithograph,THREE,Alph Lithograph
M Rayquaza EX,098/098,M Rayquaza EX
Tyranitar - XY130 (Prerelease) [Staff],XY130,Tyranitar (Prerelease) [Staff]
Colress (Team Plasma),118/135,Colress (Team Plasma)
Registeel EX,81/124,Registeel EX
Rotom,7/106,Rotom
Lanturn (20),020/147,Lanturn
Ivysaur,,Ivysaur
Machamp,9/92,Machamp
Raikou,050/185,Raikou
Cinccino,89/114,Cinccino
Beautifly,2/107,Beautifly
Charizard ex - 161,161,Charizard ex
Unown [M],66/123,Unown [M]
Jigglypuff,198/091,Jigglypuff
Ethan's Adventure,236/182,Ethan's Adventure
Galvantula,027/119,Galvantula
Koga's Ekans,077/132,Koga's Ekans
Champions Festival - XY27 (2014 Top Thirty-Two),XY27,Champions Festival (2014 Top Thirty-Two)
Team Rocket's Giovanni,238/182,Team Rocket's Giovanni
Crushing Hammer,034/039,Crushing Hammer
Bastiodon,093/084,Bastiodon
Double Gust,100/111,Double Gust
Rillaboom - SWSH006 (Prerelease),SWSH006,Rillaboom (Prerelease)
Suicune (27),27/64,Suicune
Team Aqua's Grimer,7/34,Team Aqua's Grimer
Snorlax,143/196,Snorlax
Snorlax,80/106,Snorlax
Sawsbuck,14/114,Sawsbuck
Glacia's Stadium,76/108,Glacia's Stadium
Terrakion - 2012 (Igor Costa),73/101,Terrakion - 2012 (Igor Costa)
Absol,1/97,Absol
Nuzleaf,39/100,Nuzleaf
Ninetales BREAK,16/108,Ninetales BREAK
Gardenia's Vigor,GG61/GG70,Gardenia's Vigor
Whismur - 019 (EX Deck Tin),019,Whismur (EX Deck Tin)
Chespin - XY01,XY01,Chespin
Prof. Oak's Research,98/112,Prof. Oak's Research
Plusle,36/132,Plusle
Garchomp C LV.X - DP46,DP46,Garchomp C LV.X
Copperajah V (Full Art),187/192,Copperajah V (Full Art)
Chandelure (Team Plasma),16/116,Chandelure (Team Plasma)
Torterra,010/095,Torterra
Vileplume,006/147,Vileplume
Tapu Koko GX,47/145,Tapu Koko GX
Ivysaur,082/165,Ivysaur
Leafeon,024/100,Leafeon
Typhlosion - 2011 (Christopher Kan),110/123,Typhlosion - 2011 (Christopher Kan)
Grimer,48/62,Grimer
Mystery Plate Alpha,133/144,Mystery Plate Alpha
Town Map,150/162,Town Map
Hilda,171/086,Hilda
Volcarona V (Full Art),170/203,Volcarona V (Full Art)
Entei (17),17/64,Entei
Houndour,59/97,Houndour
Treecko,006/160,Treecko
Parasol Lady,238/182,Parasol Lady
Magnemite,63/97,Magnemite
Opal,TG28/TG30,Opal
Skitty,012/012,Skitty
Jirachi - 2005 (Takashi Yoneda),8/101,Jirachi - 2005 (Takashi Yoneda)
Aether Paradise Conservation Area,SV87/SV94,Aether Paradise Conservation Area
Archaludon (Master Ball Pattern),070/131,Archaludon (Master Ball Pattern)
Rocket's Admin. - 2005 (Takashi Yoneda),86/109,Rocket's Admin. - 2005 (Takashi Yoneda)
Magikarp,118/165,Magikarp
Mega Meganium ex,034,Mega Meganium ex
Chimchar,056/100,Chimchar
Friends in Paldea,137/131,Friends in Paldea
Magneton - 2004 (Kevin Nguyen),17/097,Magneton - 2004 (Kevin Nguyen)
Haxorus,147/086,Haxorus
Raging Bolt ex,218/162,Raging Bolt ex
Roaring Moon ex - 067,067,Roaring Moon ex
Boss's Orders - 2023 (Gabriel Fernandez),172/193,Boss's Orders - 2023 (Gabriel Fernandez)
Houndour,59/109,Houndour
Pignite - 2011 (David Cohen),18/114,Pignite - 2011 (David Cohen)
Paldean Tauros,111/091,Paldean Tauros
Lightning Energy (Prize Pack Series 3) (Cosmos Holo),,Lightning Energy (Prize Pack Series 3) (Cosmos Holo)
Teal Mask Ogerpon (Twilight Masquerade Stamp),024/167,Teal Mask Ogerpon (Twilight Masquerade Stamp)
Dragonair,052/146,Dragonair
Rocket's Admin. - 2006 (Jason Klaczynski),86/109,Rocket's Admin. - 2006 (Jason Klaczynski)
Detective Pikachu,10/18,Detective Pikachu
Phione - SM220 (Prerelease),SM220,Phione (Prerelease)
Ludicolo,095/094,Ludicolo
Shuckle,109/132,Shuckle
Rare Candy - 2006 (Jimmy Ballard),90/110,Rare Candy - 2006 (Jimmy Ballard)
Marshadow & Machamp GX,82/214,Marshadow & Machamp GX
Pikachu ex,247/191,Pikachu ex
Boost Energy,145/147,Boost Energy
Jumpluff (H13),H13/H32,Jumpluff (H13)
Zapdos,41/99,Zapdos
Toxtricity V - SWSH017,SWSH017,Toxtricity V
Rocket's Articuno ex,96/109,Rocket's Articuno ex
Tepig (Master Ball Pattern),011/086,Tepig (Master Ball Pattern)
Single Strike Urshifu VMAX,TG19/TG30,Single Strike Urshifu VMAX
Colress Machine - 2013 (Yugo Sato),119/135,Colress Machine - 2013 (Yugo Sato)
Ampharos - 075,075,Ampharos
Regice,28/111,Regice
Torchic - 017 (Target Promo),017,Torchic (Target Promo)
Rare Candy (105 Secret Rare),105/101,Rare Candy (Secret Rare)
Scizor GX,SV72/SV94,Scizor GX
Sunflora,105/144,Sunflora
Venusaur EX - XY123,XY123,Venusaur EX
Pikachu (Jungle),60,Pikachu (Jungle)
Pikachu - 101,101,Pikachu
Pikachu Libre (30 - Holo),30/30,Pikachu Libre (Holo)
Switch,095/102,Switch
Regidrago VSTAR - 2024 (Evan Pavelski),136/195,Regidrago VSTAR - 2024 (Evan Pavelski)
Town Map - 2014 (Andrew Estrada),136/149,Town Map - 2014 (Andrew Estrada)
Lillie's Clefairy ex - 2025 (Riley McKay),,Lillie's Clefairy ex - 2025 (Riley McKay)
Floragato - 077,077,Floragato
Lumineon,11/123,Lumineon
Code Card - Terapagos ex Ultra-Premium Collection,,Code Card - Terapagos ex Ultra-Premium Collection
Charizard G LV.X - DP45,DP45,Charizard G LV.X
Deoxys VMAX,GG45/GG70,Deoxys VMAX
Black Kyurem EX,95/135,Black Kyurem EX
N - 2012 (Igor Costa),96/108,N - 2012 (Igor Costa)
Flareon E4,060/111,Flareon E4
Moltres (Prerelease),XY127,Moltres (Prerelease)
Garbodor (51) - 2018 (Magnus Pedersen),51/145,Garbodor (51) - 2018 (Magnus Pedersen)
Double Colorless Energy (Secret),166/145,Double Colorless Energy (Secret)
Raging Bolt ex,123/162,Raging Bolt ex
Misdreavus,39/53,Misdreavus
Precious Trolley,185/191,Precious Trolley
Rayquaza & Deoxys Legend (89) - 2011 (David Cohen),89/90,Rayquaza & Deoxys Legend (89) - 2011 (David Cohen)
Dracozolt V,058/203,Dracozolt V
Dubwool V (Full Art),188/192,Dubwool V (Full Art)
Bastiodon - 085 (Pitch Black Stamped),085,Bastiodon (Pitch Black Stamped)
Champions Festival (2016),XY176,Champions Festival (2016)
Super Energy Retrieval,089/111,Super Energy Retrieval
Pikachu - 012 (10th Anniversary),012,Pikachu (10th Anniversary)
Holon's Castform - 2007 (Jun Hasebe),44/110,Holon's Castform - 2007 (Jun Hasebe)
Computer Search - 2015 (Alejandro Ng-Guzman),137/149,Computer Search - 2015 (Alejandro Ng-Guzman)
Rocket's Scizor - 4 [Winner],004/009,Rocket's Scizor [Winner]
Dustox,220/217,Dustox
Boltund,SV040/SV122,Boltund
Popplio,004/012,Popplio
Blastoise ex,104/112,Blastoise ex
Gyarados,007/034,Gyarados
Pichu Bros.,016/017,Pichu Bros.
Double Dragon Energy - 2016 (Shunto Sadahiro),97/108,Double Dragon Energy - 2016 (Shunto Sadahiro)
Xerneas EX (146 Full Art),146/146,Xerneas EX (Full Art)
Aerodactyl,15/100,Aerodactyl
Mega Gengar ex,284/217,Mega Gengar ex
Dragonite VSTAR - SWSH236,SWSH236,Dragonite VSTAR
Poppy,227/197,Poppy
Comfey,93/145,Comfey
Misty's Determination,104/122,Misty's Determination
Iron Bundle - 066 (Pokemon Center Exclusive),066,Iron Bundle (Pokemon Center Exclusive)
Nidoqueen - 2009 (David Cohen),30/111,Nidoqueen - 2009 (David Cohen)
Glimmet,179/091,Glimmet
Kyurem VMAX,049/196,Kyurem VMAX
Shuckle,47/115,Shuckle
Dialga GX (Full Art),146/156,Dialga GX (Full Art)
Jolteon,8/115,Jolteon
Venusaur EX,1/108,Venusaur EX
Lunatone,36/107,Lunatone
Meganium,13/123,Meganium
Paras,004/034,Paras
Victreebel,042/147,Victreebel
Grass Energy,103/108,Grass Energy
Lopunny,33/146,Lopunny
Koga's Tangela,081/132,Koga's Tangela
Wobbuffet,56/110,Wobbuffet
Darkrai LV.X - DP19,DP19,Darkrai LV.X
Shadow Rider Calyrex V,074/198,Shadow Rider Calyrex V
Crushing Hammer (Secret Rare),166/156,Crushing Hammer (Secret Rare)
Glaceon V,040/203,Glaceon V
Scyther (26),26/64,Scyther
Chandelure EX,77/113,Chandelure EX
Team Rocket's Crobat ex,217/182,Team Rocket's Crobat ex
Clefable,3/123,Clefable
Donphan,008/017,Donphan
Echoing Horn (Secret),225/198,Echoing Horn (Secret)
Scyther,004/108,Scyther
Slowpoke & Psyduck GX (Alternate Full Art),218/236,Slowpoke & Psyduck GX (Alternate Full Art)
Stantler,076/111,Stantler
Defender,080/102,Defender
Chansey,58/123,Chansey
Meowth ex,062/088,Meowth ex
Ninetales,17/95,Ninetales
Mr. Mime,47/116,Mr. Mime
Fire Energy,128/132,Fire Energy
Charmander - 038,038,Charmander
Terrakion,63/98,Terrakion
Psychic Energy (2004-2005),107/109,Psychic Energy (2004-2005)
Azumarill,1/109,Azumarill
Ultra Ball - 2014 (Trent Orndorff),99/108,Ultra Ball - 2014 (Trent Orndorff)
Tangela,066/102,Tangela
Fighting Energy - 2010 (Michael Pramawat),,Fighting Energy - 2010 (Michael Pramawat)
Magearna EX (Full Art),110/114,Magearna EX (Full Art)
Brock's Zubat (74),074/132,Brock's Zubat
Luxury Ball - 2009 (Jason Martinez),86/100,Luxury Ball - 2009 (Jason Martinez)
Remoraid,080/105,Remoraid
Mega Clefable ex,119/088,Mega Clefable ex
Bellossom (Delta Species),19/110,Bellossom (Delta Species)
Ultra Ball (Secret),161/149,Ultra Ball (Secret)
Pikachu V-Union - SWSH139,SWSH139,Pikachu V-Union
Roseanne's Research - 2008 (Dylan Lefavour),125/132,Roseanne's Research - 2008 (Dylan Lefavour)
Elgyem (Master Ball Pattern),040/086,Elgyem (Master Ball Pattern)
Jirachi,119/185,Jirachi
Shellos East Sea,106/132,Shellos East Sea
Raichu GX,29/73,Raichu GX
Exeggutor (12),012/147,Exeggutor
Dragonite,18/102,Dragonite
Acerola - 2017 (Kabu Fukase),112/147,Acerola - 2017 (Kabu Fukase)
Team Magma's Claydol,8/95,Team Magma's Claydol
Meowth,106/146,Meowth
Tyrunt,68/131,Tyrunt
Swablu,75/97,Swablu
Duskull - 2008 (Jason Klaczynski),80/130,Duskull - 2008 (Jason Klaczynski)
Mewtwo VSTAR,031/078,Mewtwo VSTAR
Town Store - 2024 (Jesse Parker),196/197,Town Store - 2024 (Jesse Parker)
Xurkitree GX,SV58/SV94,Xurkitree GX
Lugia EX (94 Full Art),94/98,Lugia EX (Full Art)
Empoleon FB,027/147,Empoleon FB
Haxorus,016/020,Haxorus
Dusknoir (Master Ball Pattern),037/131,Dusknoir (Master Ball Pattern)
Togepi,04/18,Togepi
Cinccino,SV094/SV122,Cinccino
Charizard - SM158,SM158,Charizard
Duosion,119/086,Duosion
Naganadel GX - 2019 (Henry Brand),160/236,Naganadel GX - 2019 (Henry Brand)
Golem,024/110,Golem
Beedrill (Delta Species),1/113,Beedrill (Delta Species)
Smoochum,67/132,Smoochum
Lilligant,5/101,Lilligant
Magmortar,GG03/GG70,Magmortar
Dark Persian,17/53,Dark Persian
Ho-Oh EX,22/124,Ho-Oh EX
Mew,011/025,Mew
Shadow Lugia (Nintendo World Promo),,Shadow Lugia (Nintendo World Promo)
Kingdra,12/109,Kingdra
Falinks V (Full Art),185/192,Falinks V (Full Art)
Marshadow - 2019 (Henry Brand),81/214,Marshadow - 2019 (Henry Brand)
Norman,237/182,Norman
Clefairy,101/165,Clefairy
Type: Null,089/111,Type: Null
Tauros - 2008 (Dylan Lefavour),12/100,Tauros - 2008 (Dylan Lefavour)
Phanpy,043/111,Phanpy
Empoleon FB,27,Empoleon FB
Krookodile,062/098,Krookodile
Alakazam EX,25/124,Alakazam EX
Growlithe,65/100,Growlithe
Chi-Yu - 057 (Prerelease) [Staff],057,Chi-Yu (Prerelease) [Staff]
Tyranitar,17/123,Tyranitar
Mr. Mime,11/18,Mr. Mime
Sewaddle (9),9/113,Sewaddle
Fantina (Secret),206/196,Fantina (Secret)
Keldeo (47),47/149,Keldeo
Thought Wave Machine (Rocket's Secret Machine),096/105,Thought Wave Machine (Rocket's Secret Machine)
Xatu,29/107,Xatu
Sceptile EX,7/98,Sceptile EX
Vulpix (Delta Species),70/101,Vulpix (Delta Species)
Hydreigon (Cosmos Holo),140/193,Hydreigon (Cosmos Holo)
Malamar V (Full Art),186/192,Malamar V (Full Art)
Drifblim,156/091,Drifblim
Mimikyu,081/189,Mimikyu
Team Magma's Groudon EX,15/34,Team Magma's Groudon EX
Keldeo EX (142 Full Art),142/149,Keldeo EX (Full Art)
Lanturn,40/115,Lanturn
Luxray,046/099,Luxray
Code Card - Power Partnership Tin [Mewtwo & Mew GX],,Code Card - Power Partnership Tin [Mewtwo & Mew GX]
Pokemon Reversal,146/165,Pokemon Reversal
Choice Band (Secret),162/147,Choice Band (Secret)
Flareon V (Full Art),169/203,Flareon V (Full Art)
Dewgong,3/112,Dewgong
Virizion - BW70,BW70,Virizion
Palpitoad,41/113,Palpitoad
Mewtwo EX (98 Full Art),98/99,Mewtwo EX (Full Art)
Garchomp C,60,Garchomp C
Meditite - 2005 (Curran Hill),55/106,Meditite - 2005 (Curran Hill)
Umbreon ex - 2006 (Jimmy Ballard),112/115,Umbreon ex - 2006 (Jimmy Ballard)
Tapu Lele GX (Full Art),137/145,Tapu Lele GX (Full Art)
Greninja GX,24/131,Greninja GX
Dragonite,002/146,Dragonite
Stunfisk,83/113,Stunfisk
Seadra (Delta Species),52/110,Seadra (Delta Species)
Iron Crown ex,216/162,Iron Crown ex
Oran Berry,085/109,Oran Berry
Snorlax,055/078,Snorlax
Kingdra ex,92/97,Kingdra ex
Broken Time-Space - 2009 (Jason Martinez),104/127,Broken Time-Space - 2009 (Jason Martinez)
Machamp EX,37/98,Machamp EX
Pikachu V (Full Art),170/185,Pikachu V (Full Art)
Thwackey - 115 (Prerelease) [Staff],115,Thwackey (Prerelease) [Staff]
Decidueye GX (Secret),146/145,Decidueye GX (Secret)
Orbeetle VMAX,021/185,Orbeetle VMAX
Deoxys,016/107,Deoxys
Professor's Research [Professor Magnolia] - 223,223,Professor's Research [Professor Magnolia]
Magby,58/92,Magby
Snorlax - SWSH068 (Prerelease),SWSH068,Snorlax (Prerelease)
Trevenant EX (145 Full Art),145/160,Trevenant EX (Full Art)
Rayquaza VMAX (102),102/159,Rayquaza VMAX
Eelektross,47/108,Eelektross
Snivy - 049,049,Snivy
Hoopa EX,XY71,Hoopa EX
Greedent V,120/159,Greedent V
Raichu,014/102,Raichu
Machoke,39/92,Machoke
Alph Lithograph,FOUR,Alph Lithograph
Mega Gardevoir ex - 032,032,Mega Gardevoir ex
Luxray ex,195/167,Luxray ex
Beedrill ex,098/086,Beedrill ex
Unown (N),N/28,Unown (N)
Erika's Gloom (45),045/132,Erika's Gloom
Umbreon,24/100,Umbreon
Xatu,152/091,Xatu
Mewtwo V - SWSH229,SWSH229,Mewtwo V
Drowzee,011/034,Drowzee
Solrock (25) - 2007 (Jeremy Scharff-Kim),25/92,Solrock (25) - 2007 (Jeremy Scharff-Kim)
Cessation Crystal,74/100,Cessation Crystal
Bloodmoon Ursaluna ex,202/167,Bloodmoon Ursaluna ex
Water Energy - 2009 (David Cohen),,Water Energy - 2009 (David Cohen)
M Gardevoir EX (Full Art),112/114,M Gardevoir EX (Full Art)
Blaine's Rhyhorn,065/132,Blaine's Rhyhorn
Victory Cup - BW30 (Battle Road Autumn 2012) [2nd Place],BW30,Victory Cup (Battle Road Autumn 2012) [2nd Place]
Charizard V,019/189,Charizard V
Thundurus EX (Team Plasma) (110 Full Art),110/116,Thundurus EX (Team Plasma) (Full Art)
Rayquaza,14/146,Rayquaza
Buried Fossil,047/144,Buried Fossil
Cosmog,006/012,Cosmog
Gyarados,30/181,Gyarados
Dedenne,078/189,Dedenne
Dark Blastoise,004/110,Dark Blastoise
Grand Tree,136/142,Grand Tree
Zygarde GX (Secret),136/131,Zygarde GX (Secret)
Buzzwole,21/236,Buzzwole
Shedinja,95/214,Shedinja
Team Aqua's Electrike,27/95,Team Aqua's Electrike
Victreebel (14),14/64,Victreebel
Barraskewda,SV032/SV122,Barraskewda
Origin Forme Dialga VSTAR - SWSH256,SWSH256,Origin Forme Dialga VSTAR
Chandelure V,039/264,Chandelure V
Iono's Bellibolt ex,183/159,Iono's Bellibolt ex
Octillery,026/147,Octillery
Mantine (Delta Species),20/101,Mantine (Delta Species)
Houndoom - SWSH090 (Prerelease),SWSH090,Houndoom (Prerelease)
Kabutops,012/012,Kabutops
Area Zero Underdepths,174/142,Area Zero Underdepths
Octillery (H20),H20/H32,Octillery (H20)
Latios,12/110,Latios
Deoxys EX (Team Plasma) (Full Art),111/116,Deoxys EX (Team Plasma) (Full Art)
Azumarill,114/113,Azumarill
Psychic Energy (2017 Unnumbered) (Wave Foil),,Psychic Energy (2017 Unnumbered) (Wave Foil)
Sealeo,47/101,Sealeo
Scizor (29),29/75,Scizor
M Charizard EX (X) (Secret),108/106,M Charizard EX (X) (Secret)
Professor Elm's Training Method,100/123,Professor Elm's Training Method
Cynthia - 2018 (Robin Schulz),119/156,Cynthia - 2018 (Robin Schulz)
Sandaconda V (Full Art),184/192,Sandaconda V (Full Art)
Camerupt EX (146 Full Art),146/160,Camerupt EX (Full Art)
Professor Elm,096/111,Professor Elm
Piplup,071/100,Piplup
Dratini,107/165,Dratini
Golbat,060/144,Golbat
Mawile Spirit Link,XY105,Mawile Spirit Link
Lucian's Assignment,092/111,Lucian's Assignment
Rowlet - SM01 (General Mills Promo),SM01,Rowlet (General Mills Promo)
Eevee (104),104/156,Eevee
Typhlosion,20/162,Typhlosion
Pikachu - SM162,SM162,Pikachu
Umbreon Star,17/17,Umbreon Star
Scyther,7/149,Scyther
Multi Energy,103/112,Multi Energy
Umbreon EX (Full Art),119/124,Umbreon EX (Full Art)
Sylveon GX,092a/145,Sylveon GX
Dialga EX,62/119,Dialga EX
Wooloo - SWSH011,SWSH011,Wooloo
Code Card - Espeon GX Premium Collection,,Code Card - Espeon GX Premium Collection
Sylveon V (Alternate Full Art),184/203,Sylveon V (Alternate Full Art)
Beautifly,219/217,Beautifly
Cresselia,2/100,Cresselia
Raticate BREAK,89/122,Raticate BREAK
Celebi ex,117/115,Celebi ex
Tapu Koko GX (Full Art),135/145,Tapu Koko GX (Full Art)
Snorlax,050/068,Snorlax
Rare Candy - 2005 (Michael Gonzalez),83/106,Rare Candy - 2005 (Michael Gonzalez)
Suicune & Entei Legend LEGEND (95) - 2011 (Ross Cawthon),95/95,Suicune & Entei Legend LEGEND (95) - 2011 (Ross Cawthon)
Goodra - 077,077,Goodra
Water Energy (2010 Play! Pokemon),,Water Energy (2010 Play! Pokemon)
Worker (Secret),209/195,Worker (Secret)
Grookey,SV004/SV122,Grookey
Unown [P],33/100,Unown [P]
Twins,89/102,Twins
Zygarde,XY152,Zygarde
Conkeldurr V (Full Art),073/078,Conkeldurr V (Full Art)
Aurora Energy,186/202,Aurora Energy
Tauros,47/64,Tauros
Azumarill (H4),H04/H32,Azumarill (H4)
Dialga G,007/127,Dialga G
Raikou,079/214,Raikou
Raticate,040/102,Raticate
Vanillish,190/182,Vanillish
Lillie - 2018 (Pedro Eugenio Torres),125/156,Lillie - 2018 (Pedro Eugenio Torres)
Espeon,048/108,Espeon
Gyarados EX (Full Art),114/122,Gyarados EX (Full Art)
Trevenant VMAX,014/203,Trevenant VMAX
Moltres,22/113,Moltres
Wobbuffet,24/108,Wobbuffet
Haxorus,069/101,Haxorus
Stoutland (Secret),248/236,Stoutland (Secret)
Alolan Persian GX (Full Art),219/236,Alolan Persian GX (Full Art)
Chesnaught BREAK,12/162,Chesnaught BREAK
Dodrio,34/64,Dodrio
Dugtrio (44),044/165,Dugtrio
Hoopa V,GG53/GG70,Hoopa V
Vikavolt V (Full Art),180/189,Vikavolt V (Full Art)
Groudon,006/095,Groudon
Meltan,179/162,Meltan
Aegislash VMAX,127/185,Aegislash VMAX
Bewear - SM49 (Prerelease),SM49,Bewear (Prerelease)
Guzma - 2018 (Magnus Pedersen),115/147,Guzma - 2018 (Magnus Pedersen)
Blitzle,35/101,Blitzle
Venusaur,003/078,Venusaur
Mew - XY110,XY110,Mew
Karen - 2017 (Zachary Bokhari),XY177,Karen - 2017 (Zachary Bokhari)
Basic Fighting Energy - 006 (Cosmos Holo),006,Basic Fighting Energy (Cosmos Holo)
Flying Pikachu V - 2022 (Ondrej Skubal),006/025,Flying Pikachu V - 2022 (Ondrej Skubal)
Light Azumarill,013/105,Light Azumarill
Caterpie,57/123,Caterpie
Oleana (Full Art),191/192,Oleana (Full Art)
Kyurem ex,165/086,Kyurem ex
Mudkip - XY38,XY38,Mudkip
Corviknight,SV089/SV122,Corviknight
Galarian Meowth,SV086/SV122,Galarian Meowth
Professor's Research [Professor Magnolia],178/202,Professor's Research [Professor Magnolia]
Dragonite,149/165,Dragonite
Light Ninetales,050/105,Light Ninetales
Lucario VSTAR - SWSH291,SWSH291,Lucario VSTAR
Gardevoir VMAX,17/73,Gardevoir VMAX
Tentacruel,038/147,Tentacruel
Blastoise V - SWSH101,SWSH101,Blastoise V
Mr. Briney's Compassion,87/97,Mr. Briney's Compassion
Palkia GX,20/131,Palkia GX
Fletchinder,199/193,Fletchinder
Trainers' Mail,92/108,Trainers' Mail
Solosis (Master Ball Pattern),037/086,Solosis (Master Ball Pattern)
Pikachu & Zekrom GX,33/181,Pikachu & Zekrom GX
Castform Sunny Form,51/146,Castform Sunny Form
Tepig,015/114,Tepig
Gengar,TG06/TG30,Gengar
Magikarp,72/123,Magikarp
Lightning Energy (2009 Unnumbered POP Promo),,Lightning Energy (2009 Unnumbered POP Promo)
Terrakion EX,71/124,Terrakion EX
Porygon-Z LV.X,100/100,Porygon-Z LV.X
Dusclops,014/108,Dusclops
Startling Megaphone - 2014 (Haruto Kobayashi),97/106,Startling Megaphone - 2014 (Haruto Kobayashi)
Pikachu,058/102,Pikachu
Melony (Full Art),195/198,Melony (Full Art)
Garbodor (51) - 2018 (Robin Schulz),51/145,Garbodor (51) - 2018 (Robin Schulz)
Ursaring,37/95,Ursaring
Froakie - XY03,XY03,Froakie
Pikachu - SM227,SM227,Pikachu
Hitmonchan,069/105,Hitmonchan
Pokemon Communication - 2010 (Yuta Komatsuda),98/123,Pokemon Communication - 2010 (Yuta Komatsuda)
Togepi,056/105,Togepi
Turbo Patch (Secret),200/189,Turbo Patch (Secret)
Pidgey - 2006 (Hiroki Yano),73/112,Pidgey - 2006 (Hiroki Yano)
Ponyta,102/147,Ponyta
Gardevoir V,16/73,Gardevoir V
Chingling,42/123,Chingling
Exeggcute,52/64,Exeggcute
Weepinbell,48/64,Weepinbell
Ledian,039/111,Ledian
Emolga EX (143 Full Art),143/146,Emolga EX (Full Art)
Hitmonlee,042/105,Hitmonlee
Crustle,186/182,Crustle
Hatterene VMAX,GG47/GG70,Hatterene VMAX
Alcremie ex (Journey Together Stamped),075/159,Alcremie ex (Journey Together Stamped)
Light Arcanine,012/105,Light Arcanine
Magearna - XY186,XY186,Magearna
Houndour,043/105,Houndour
Ampharos,1/127,Ampharos
M Glalie EX,35/162,M Glalie EX
Scyther,006/034,Scyther
Holon Scientist - 2007 (Akira Miyazaki),97/113,Holon Scientist - 2007 (Akira Miyazaki)
Toucannon,094/084,Toucannon
Mawile,33,Mawile
Indeedee,SV059/SV122,Indeedee
Marill,066/111,Marill
Giovanni's Nidoking,007/132,Giovanni's Nidoking
Ice Rider Calyrex VMAX,TG15/TG30,Ice Rider Calyrex VMAX
Vaporeon (Team Plasma),20/116,Vaporeon (Team Plasma)
Groudon,29/146,Groudon
Pikachu & Zekrom GX - SM248,SM248,Pikachu & Zekrom GX
Golduck,29/127,Golduck
Sabrina's Haunter,058/132,Sabrina's Haunter
Gliscor,4/90,Gliscor
Liepard,137/086,Liepard
Wailord,31/102,Wailord
Rayquaza EX (75),75/108,Rayquaza EX
Typhlosion ex,110/115,Typhlosion ex
Poltchageist,171/167,Poltchageist
Gardevoir,7/109,Gardevoir
Chandelure (Secret),101/99,Chandelure (Secret)
Scyther (10),10/64,Scyther
Black Kyurem EX,101/149,Black Kyurem EX
Digger (Rocket's Secret Machine),75/82,Digger (Rocket's Secret Machine)
Ponyta,126/165,Ponyta
Alolan Ninetales,111/181,Alolan Ninetales
Gloom,049/147,Gloom
Electrode,036/144,Electrode
Dragonair,022/130,Dragonair
Dunsparce - 2004 (Reed Weichler),60/100,Dunsparce - 2004 (Reed Weichler)
Copperajah VMAX,137/192,Copperajah VMAX
Klink,074/114,Klink
Absol ex,92/108,Absol ex
White Kyurem (Full Art Promo),XY81,White Kyurem (Full Art Promo)
Dusclops,17/100,Dusclops
Blaziken,001/017,Blaziken
Unown [J],38/53,Unown [J]
Rocket's Minefield Gym,119/132,Rocket's Minefield Gym
Shaymin Lv.X (Sky Forme),127/127,Shaymin Lv.X (Sky Forme)
Miltank,27/39,Miltank
Mew,004/017,Mew
Staravia,010/015,Staravia
Trubbish,48/101,Trubbish
Warp Point - 2008 (Paul Atanassov),88/100,Warp Point - 2008 (Paul Atanassov)
Cherish Ball,191a/236,Cherish Ball
Wartortle,050/112,Wartortle
